source_artifact,model_id,environment,decoder,label_mapping,decoder_value_gap
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.1,A-B-C,0.0
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.3,A-B-C,0.1754245068119284
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5_then_top_p_0.8,A-B-C,0.1754245068119284
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.8_then_temperature_0.5,A-B-C,0.13113819426758194
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,greedy,A-C-B,-0.04873051250183519
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5,A-C-B,-0.0340462304981298
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_1.5,A-C-B,0.006613296922350548
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_k_2,A-C-B,0.011389246044711726
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.6,A-C-B,-0.04873051250183519
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.9,A-C-B,0.011389246044711726
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.1,A-C-B,-0.0007778395907839519
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,min_p_0.3,A-C-B,-0.04873051250183519
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5_then_top_p_0.8,A-C-B,-0.04873051250183519
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.8_then_temperature_0.5,A-C-B,-0.034485626959539245
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,greedy,B-A-C,0.25410334072170676
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5,B-A-C,0.11336396452201858
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_1.5,B-A-C,-0.03885471436832158
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_k_2,B-A-C,-0.038953962793248365
